lookup_table,keyword,match_where,priority,gender,product_type,variant_profile,collection_handle,collection_title,shopify_taxonomy_keyword,vendor,domain,status,notes
collection_map,shirt,any,40,women,,,womens-tops,womens-tops,,,,,Women's shirts — low priority
collection_map,sweater,any,10,women,,,womens-tops,womens-tops,,,,,
collection_map,cardigan,any,10,women,,,womens-tops,womens-tops,,,,,
collection_map,hoodie,any,10,women,,,womens-outerwear,womens-outerwear,,,,,Outerwear not tops
collection_map,jean,any,10,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,denim,any,12,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,pant,any,10,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,trouser,any,10,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,chino,any,10,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,skirt,any,10,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,short,any,10,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,legging,any,10,women,,,womens-bottoms,womens-bottoms,,,,,Lululemon — no activewear collection
collection_map,jogger,any,10,women,,,womens-bottoms,womens-bottoms,,,,,
collection_map,sports bra,any,10,women,,,womens-intimates,womens-intimates,,,,,
collection_map,bodysuit,any,10,women,,,womens-intimates,womens-intimates,,,,,Skims
collection_map,bra,any,10,women,,,womens-intimates,womens-intimates,,,,,
collection_map,underwear,any,10,women,,,womens-intimates,womens-intimates,,,,,
collection_map,lingerie,any,10,women,,,womens-intimates,womens-intimates,,,,,
collection_map,intimates,any,10,women,,,womens-intimates,womens-intimates,,,,,
collection_map,jacket,any,10,women,,,womens-outerwear,womens-outerwear,,,,,
collection_map,coat,any,10,women,,,womens-outerwear,womens-outerwear,,,,,
collection_map,blazer,any,10,women,,,womens-outerwear,womens-outerwear,,,,,
collection_map,fleece,any,10,women,,,womens-outerwear,womens-outerwear,,,,,Patagonia women's fleece
collection_map,parka,any,10,women,,,womens-outerwear,womens-outerwear,,,,,
collection_map,puffer,any,10,women,,,womens-outerwear,womens-outerwear,,,,,
collection_map,windbreaker,any,10,women,,,womens-outerwear,womens-outerwear,,,,,
collection_map,vest,any,12,women,,,womens-outerwear,womens-outerwear,,,,,Gilet / vest
collection_map,boot,any,10,women,,,womens-shoes,womens-shoes,,,,,
collection_map,sneaker,any,10,women,,,womens-shoes,womens-shoes,,,,,
collection_map,heel,any,10,women,,,womens-shoes,womens-shoes,,,,,
collection_map,sandal,any,10,women,,,womens-shoes,womens-shoes,,,,,
collection_map,bag,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,belt,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,hat,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,scarf,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,wallet,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,watch,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,jewelry,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,necklace,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,ring,any,10,women,,,womens-accessories,womens-accessories,,,,,
collection_map,shirt,any,10,men,,,mens-shirts,mens-shirts,,,,,
collection_map,linen,title,12,men,,,mens-shirts,mens-shirts,,,,,
collection_map,polo,any,10,men,,,mens-shirts,mens-shirts,,,,,
collection_map,tee,any,10,men,,,mens-shirts,mens-shirts,,,,,
collection_map,jean,any,10,men,,,mens-pants,mens-pants,,,,,
collection_map,pant,any,10,men,,,mens-pants,mens-pants,,,,,
collection_map,chino,any,10,men,,,mens-pants,mens-pants,,,,,
collection_map,trouser,any,10,men,,,mens-pants,mens-pants,,,,,
collection_map,short,any,10,men,,,mens-pants,mens-pants,,,,,
collection_map,jogger,any,10,men,,,mens-pants,mens-pants,,,,,No mens-activewear collection
collection_map,jacket,any,10,men,,,mens-outerwear,mens-outerwear,,,,,
collection_map,coat,any,10,men,,,mens-outerwear,mens-outerwear,,,,,
collection_map,hoodie,any,10,men,,,mens-outerwear,mens-outerwear,,,,,
collection_map,fleece,any,10,men,,,mens-outerwear,mens-outerwear,,,,,
collection_map,boot,any,10,men,,,mens-shoes,mens-shoes,,,,,
collection_map,sneaker,any,10,men,,,mens-shoes,mens-shoes,,,,,
collection_map,loafer,any,10,men,,,mens-shoes,mens-shoes,,,,,
collection_map,bag,any,10,men,,,mens-accessories,mens-accessories,,,,,
collection_map,belt,any,10,men,,,mens-accessories,mens-accessories,,,,,
collection_map,hat,any,10,men,,,mens-accessories,mens-accessories,,,,,
collection_map,wallet,any,10,men,,,mens-accessories,mens-accessories,,,,,
collection_map,watch,any,10,men,,,mens-accessories,mens-accessories,,,,,
collection_map,tie,any,10,men,,,mens-accessories,mens-accessories,,,,,
collection_map,kids,any,5,kids,,,kids,kids,,,,,Any kids product
collection_map,kid,any,8,kids,,,kids,kids,,,,,
collection_map,boys,any,5,kids,,,kids,kids,,,,,
collection_map,boy,any,8,kids,,,kids,kids,,,,,
collection_map,girls,any,5,kids,,,kids,kids,,,,,
collection_map,girl,any,8,kids,,,kids,kids,,,,,
collection_map,toddler,any,5,kids,,,kids,kids,,,,,
collection_map,baby,any,5,kids,,,kids,kids,,,,,
collection_map,youth,any,5,kids,,,kids,kids,,,,,
collection_map,children,any,5,kids,,,kids,kids,,,,,
collection_map,/kids/,url,3,kids,,,kids,kids,,,,,
collection_map,/boys/,url,3,kids,,,kids,kids,,,,,
collection_map,/girls/,url,3,kids,,,kids,kids,,,,,
collection_map,/children/,url,3,kids,,,kids,kids,,,,,
collection_map,/men/,url,5,men,,,,,,,,,Gender hint
collection_map,/women/,url,5,women,,,,,,,,,Gender hint
collection_map,/mujer/,url,5,women,,,,,,,,,Mango ES
collection_map,/hombre/,url,5,men,,,,,,,,,Mango ES
collection_map,/shirts/,url,8,men,,,mens-shirts,mens-shirts,,,,,
collection_map,/dresses/,url,8,women,,,womens-dresses,womens-dresses,,,,,
collection_map,/linen/,url,10,men,,,mens-shirts,mens-shirts,,,,,
product_type_map,dress,any,10,women,Women > Dresses > Casual,clothing_alpha,womens-dresses,,dress,,,,
product_type_map,midi dress,title,5,women,Women > Dresses > Midi,clothing_alpha,womens-dresses,,dress,,,,
product_type_map,maxi dress,title,5,women,Women > Dresses > Maxi,clothing_alpha,womens-dresses,,dress,,,,
product_type_map,jumpsuit,any,10,women,Women > Jumpsuits > Casual,clothing_alpha,womens-dresses,,dress,,,,
product_type_map,blouse,any,10,women,Women > Tops > Blouse,clothing_alpha,womens-tops,,shirt,,,,
product_type_map,shirt,any,40,women,Women > Tops > Shirt,clothing_alpha,womens-tops,,shirt,,,,Generic — low priority; URL gender rules win
product_type_map,tee,any,10,women,Women > Tops > T-Shirt,clothing_alpha,womens-tops,,t-shirt,,,,
product_type_map,jean,any,10,women,Women > Jeans > Straight,clothing_numeric,womens-bottoms,,jean,,,,
product_type_map,pant,any,12,women,Women > Pants > Casual,clothing_alpha,womens-bottoms,,pant,,,,
product_type_map,skirt,any,10,women,Women > Skirts > Casual,clothing_alpha,womens-bottoms,,dress,,,,
product_type_map,legging,any,10,women,Women > Pants > Leggings,clothing_alpha,womens-bottoms,,pant,,,,
product_type_map,bodysuit,any,10,women,Women > Intimates > Bodysuit,clothing_alpha,womens-intimates,,shirt,,,,Skims
product_type_map,bra,any,10,women,Women > Intimates > Bra,clothing_alpha,womens-intimates,,shirt,,,,
product_type_map,underwear,any,10,women,Women > Intimates > Underwear,clothing_alpha,womens-intimates,,shirt,,,,
product_type_map,jacket,any,10,women,Women > Outerwear > Jacket,clothing_alpha,womens-outerwear,,jacket,,,,
product_type_map,coat,any,10,women,Women > Outerwear > Coat,clothing_alpha,womens-outerwear,,coat,,,,
product_type_map,blazer,any,10,women,Women > Outerwear > Blazer,clothing_alpha,womens-outerwear,,jacket,,,,
product_type_map,hoodie,any,10,women,Women > Outerwear > Hoodie,clothing_alpha,womens-outerwear,,jacket,,,,
product_type_map,fleece,any,10,women,Women > Outerwear > Fleece,clothing_alpha,womens-outerwear,,jacket,,,,Patagonia
product_type_map,parka,any,10,women,Women > Outerwear > Parka,clothing_alpha,womens-outerwear,,coat,,,,
product_type_map,puffer,any,10,women,Women > Outerwear > Puffer Jacket,clothing_alpha,womens-outerwear,,jacket,,,,
product_type_map,windbreaker,any,10,women,Women > Outerwear > Windbreaker,clothing_alpha,womens-outerwear,,jacket,,,,
product_type_map,boot,any,10,women,Women > Shoes > Boots,footwear_uk,womens-shoes,,shoe,,,,
product_type_map,sneaker,any,10,women,Women > Shoes > Sneakers,footwear_uk,womens-shoes,,shoe,,,,
product_type_map,bag,any,10,women,Women > Accessories > Handbag,one_size,womens-accessories,,bag,,,,
product_type_map,belt,any,10,women,Women > Accessories > Belt,one_size,womens-accessories,,accessory,,,,
product_type_map,hat,any,10,women,Women > Accessories > Hat,one_size,womens-accessories,,accessory,,,,
product_type_map,linen shirt,title,5,men,Men > Shirts > Linen,clothing_alpha,mens-shirts,,shirt,,,,
product_type_map,shirt,any,15,men,Men > Shirts > Casual,clothing_alpha,mens-shirts,,shirt,,,,
product_type_map,polo,any,10,men,Men > Shirts > Polo,clothing_alpha,mens-shirts,,shirt,,,,
product_type_map,jean,any,10,men,Men > Jeans > Straight,clothing_numeric,mens-pants,,jean,,,,
product_type_map,501,title,5,men,Men > Jeans > 501 Original,clothing_numeric,mens-pants,,jean,,,,Levi's
product_type_map,pant,any,12,men,Men > Pants > Casual,clothing_alpha,mens-pants,,pant,,,,
product_type_map,short,any,10,men,Men > Shorts > Casual,clothing_alpha,mens-pants,,pant,,,,
product_type_map,jacket,any,10,men,Men > Outerwear > Jacket,clothing_alpha,mens-outerwear,,jacket,,,,
product_type_map,hoodie,any,10,men,Men > Outerwear > Hoodie,clothing_alpha,mens-outerwear,,jacket,,,,
product_type_map,fleece,any,10,men,Men > Outerwear > Fleece,clothing_alpha,mens-outerwear,,jacket,,,,Patagonia
product_type_map,boot,any,10,men,Men > Shoes > Boots,footwear_uk,mens-shoes,,shoe,,,,
product_type_map,sneaker,any,10,men,Men > Shoes > Sneakers,footwear_uk,mens-shoes,,shoe,,,,
product_type_map,bag,any,10,men,Men > Accessories > Bag,one_size,mens-accessories,,bag,,,,
product_type_map,belt,any,10,men,Men > Accessories > Belt,one_size,mens-accessories,,accessory,,,,
product_type_map,hat,any,10,men,Men > Accessories > Hat,one_size,mens-accessories,,accessory,,,,
product_type_map,watch,any,10,men,Men > Accessories > Watch,one_size,mens-accessories,,accessory,,,,
product_type_map,kids dress,title,5,kids,Kids > Dresses > Casual,clothing_alpha,kids,,dress,,,,
product_type_map,girls dress,title,5,kids,Kids > Girls > Dress,clothing_alpha,kids,,dress,,,,
product_type_map,boys shirt,title,5,kids,Kids > Boys > Shirt,clothing_alpha,kids,,shirt,,,,
product_type_map,kids tee,title,5,kids,Kids > Tops > T-Shirt,clothing_alpha,kids,,t-shirt,,,,
product_type_map,kids,any,5,kids,Kids > Clothing > Casual,clothing_alpha,kids,,shirt,,,,Default kids
product_type_map,boys,any,5,kids,Kids > Boys > Clothing,clothing_alpha,kids,,shirt,,,,
product_type_map,girls,any,5,kids,Kids > Girls > Clothing,clothing_alpha,kids,,shirt,,,,
product_type_map,toddler,any,5,kids,Kids > Toddler > Clothing,clothing_alpha,kids,,shirt,,,,
product_type_map,baby,any,5,kids,Kids > Baby > Clothing,clothing_alpha,kids,,shirt,,,,
product_type_map,/kids/,url,3,kids,Kids > Clothing > Casual,clothing_alpha,kids,,shirt,,,,
product_type_map,/boys/,url,3,kids,Kids > Boys > Clothing,clothing_alpha,kids,,shirt,,,,
product_type_map,/girls/,url,3,kids,Kids > Girls > Clothing,clothing_alpha,kids,,shirt,,,,
product_type_map,/linen/,url,2,men,Men > Shirts > Linen,clothing_alpha,mens-shirts,,shirt,,,,
product_type_map,/shirts/,url,3,men,Men > Shirts > Casual,clothing_alpha,mens-shirts,,shirt,,,,
product_type_map,/dresses/,url,8,women,Women > Dresses > Casual,clothing_alpha,womens-dresses,,dress,,,,
product_type_map,/men/,url,4,men,Men > Shirts > Casual,clothing_alpha,mens-shirts,,shirt,,,URL gender fallback
product_type_map,/women/,url,2,women,Women > Tops > Shirt,clothing_alpha,womens-tops,,shirt,,,URL gender + default women's tops
product_type_map,for men,title,4,men,Men > Shirts > Casual,clothing_alpha,mens-shirts,,shirt,,,Title contains for men
product_type_map,men's,title,4,men,Men > Shirts > Casual,clothing_alpha,mens-shirts,,shirt,,,Title contains men's
vendor_map,,,,,,,,,,Zara,zara.com,,
vendor_map,,,,,,,,,,Mango,shop.mango.com,,
vendor_map,,,,,,,,,,Mango,mango.com,,
vendor_map,,,,,,,,,,Everlane,everlane.com,,
vendor_map,,,,,,,,,,Express,express.com,,
vendor_map,,,,,,,,,,Fashion Nova,fashionnova.com,,
vendor_map,,,,,,,,,,Macy's,macys.com,,Marketplace — vendor may vary
vendor_map,,,,,,,,,,Lululemon,shop.lululemon.com,,
vendor_map,,,,,,,,,,Lululemon,lululemon.com,,
vendor_map,,,,,,,,,,MATE the Label,matethelabel.com,,
vendor_map,,,,,,,,,,Universal Standard,universalstandard.com,,
vendor_map,,,,,,,,,,Dôen,shopdoen.com,,
vendor_map,,,,,,,,,,Patagonia,patagonia.com,,
vendor_map,,,,,,,,,,Tecovas,tecovas.com,,
vendor_map,,,,,,,,,,Black Halo,blackhalo.com,,
vendor_map,,,,,,,,,,Los Angeles Apparel,losangelesapparel.net,,
vendor_map,,,,,,,,,,Levi's,levi.com,,
vendor_map,,,,,,,,,,Ralph Lauren,ralphlauren.com,,
vendor_map,,,,,,,,,,Calvin Klein,calvinklein.us,,
vendor_map,,,,,,,,,,Gap,gap.com,,
vendor_map,,,,,,,,,,Tommy Hilfiger,usa.tommy.com,,
vendor_map,,,,,,,,,,Tommy Hilfiger,tommy.com,,
vendor_map,,,,,,,,,,Abercrombie & Fitch,abercrombie.com,,
vendor_map,,,,,,,,,,Origin,originusa.com,,
vendor_map,,,,,,,,,,Skims,skims.com,,
